,dx,co,pe,ou,co_1 All Populations,co_2 HIV Testing Status,value
3005,HTS_TST,qBqKMUCDz0Q,202408,EpiC,MSM,Positive,1
3007,HTS_TST,sgl0bQRswOk,202409,EpiC,MSM,Negative,3
3019,HTS_TST,eWMsQvNdGjr,202408,EpiC,MSM,Positive,3
3034,HTS_TST,Q1xMNwbd67e,202408,EpiC,Clients of FSW,Negative,6
3038,HTS_TST,vETG8GvNbrz,202408,EpiC,Clients of FSW,Positive,1
3041,HTS_TST,RrkevgYjrxa,202409,EpiC,MSM,Negative,252
3045,HTS_TST,uUL6zyihKd4,202408,EpiC,MSM,Positive,9
3063,HTS_TST,AeBsDvbaq1M,202409,EpiC,Clients of FSW,Negative,1
3067,HTS_TST,BXbb6kp6KGR,202409,EpiC,Clients of FSW,Negative,6
3073,HTS_TST,nJmRmdNY1Zg,202408,EpiC,Clients of FSW,Positive,1
3084,HTS_TST,HIrrlCfNOnY,202407,EpiC,Clients of FSW,Negative,1
3097,HTS_TST,PdSJwtE7mI1,202409,EpiC,MSM,Negative,34
3099,HTS_TST,oIXwYzSArGi,202408,EpiC,MSM,Negative,3
3113,HTS_TST,yZEmtIOKJky,202408,EpiC,Clients of FSW,Positive,1
3114,HTS_TST,XdmI0gx0HVG,202407,EpiC,MSM,Positive,1
3123,HTS_TST,zpQYaszlfH3,202409,EpiC,MSM,Negative,1729
3124,HTS_TST,PIKIChNVIRY,202409,EpiC,MSM,Negative,3332
3130,HTS_TST,FfqVaeWeO2n,202409,EpiC,MSM,Positive,9
